leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Heteromirafra_archeri_ott3597581,CR,no_domain,no_kingdom,no_phylum,1000,9.051921,6.375614,6.789787,9.317984,10.801930,10.920432,9.901057,9.116130,9.154422,9.855694,10.874918,10.921524,0.914174,0.689342,0.702314,0.973849,0.999900,0.999900
Treron_chloropterus_ott3596648,No status,no_domain,no_kingdom,no_phylum,1000,9.030874,0.053717,0.440743,5.788175,23.890311,23.890311,23.892700,23.892700,23.892700,23.892700,23.892700,23.892700,0.377976,0.002248,0.018447,0.242257,0.999900,0.999900
Eupodotis_rueppellii_ott967561,No status,no_domain,no_kingdom,no_phylum,1000,9.005205,0.051046,0.467338,5.912868,29.717352,35.531380,24.531419,17.804730,18.086407,22.000761,35.534933,35.534933,0.371386,0.002790,0.021316,0.239430,0.999900,0.999900
Sylvietta_philippae_ott3598122,DD,no_domain,no_kingdom,no_phylum,1000,8.964357,0.047034,0.443051,5.659507,25.548653,25.548653,25.551208,25.551208,25.551208,25.551208,25.551208,25.551208,0.350839,0.001841,0.017340,0.221497,0.999900,0.999900
Lophopsittacus_mauritianus_ott6520290,No status,no_domain,no_kingdom,no_phylum,1000,8.919897,0.055513,0.507151,5.601408,25.457154,25.457154,25.459700,25.459700,25.459700,25.459700,25.459700,25.459700,0.350354,0.002180,0.019920,0.220011,0.999900,0.999900
Aerodramus_nuditarsus_ott3595840,No status,no_domain,no_kingdom,no_phylum,1000,8.791560,0.066642,0.420909,5.278759,29.372890,33.098835,22.569991,16.594719,16.935578,20.627540,33.102145,33.102145,0.387142,0.002655,0.019171,0.244998,0.999900,0.999900
Claravis_mondetoura_ott3596630,No status,no_domain,no_kingdom,no_phylum,1000,8.774511,0.062436,0.420396,5.771286,26.066065,28.271087,23.885889,21.437328,21.581863,22.864846,28.273914,28.273914,0.366402,0.002790,0.017834,0.243984,0.999900,0.999900
Thripophaga_amacurensis_ott6152717,No status,no_domain,no_kingdom,no_phylum,1000,8.762922,0.064611,0.464568,5.399205,24.973502,24.973502,24.976000,24.976000,24.976000,24.976000,24.976000,24.976000,0.350854,0.002587,0.018601,0.216176,0.999900,0.999900
Anthus_gustavi_ott947050,CR,no_domain,no_kingdom,no_phylum,1000,8.751971,6.641283,6.780720,9.259415,9.626477,9.626477,9.627440,9.627440,9.627440,9.627440,9.627440,9.627440,0.909065,0.689829,0.704312,0.961773,0.999900,0.999900
Terathopius_ecaudatus_ott327096,EN,no_domain,no_kingdom,no_phylum,1000,8.750801,6.061107,6.154963,8.617658,11.918732,12.178426,17.691700,17.691700,17.691700,17.691700,17.691700,17.691701,0.494628,0.342596,0.347901,0.487102,0.673691,0.688369
Leptoptilos_crumenifer_ott3596802,No status,no_domain,no_kingdom,no_phylum,1000,8.748826,0.082265,0.386020,5.356356,23.746525,23.746525,23.748900,23.748900,23.748900,23.748900,23.748900,23.748900,0.368389,0.003464,0.016254,0.225541,0.999900,0.999900
